pl_name,pl_rade,pl_bmasse,disc_year,st_teff,pl_eqt,pl_orbsmax,pl_orbper
HD 1397 b,11.466807,116.64361,2018,5474.0,1519.0,0.1003,11.5366
HD 149026 b,7.330686,114.10097,2005,6160.0,1634.0,0.04313,2.87598
HD 149026 b,6.83749,113.14748,2005,6147.0,1626.0,0.04288,2.8758911
HD 15337 b,1.699,7.2,2019,5131.0,1006.0,0.05245,4.75642
HD 15337 b,1.64,7.51,2019,5125.0,1001.0,0.0522,4.75615
HD 15337 c,2.522,8.79,2019,5131.0,656.1,0.1235,17.1784
HD 15337 c,2.39,8.11,2019,5125.0,642.0,0.1268,17.1784
HD 17156 b,11.937585,1036.76146,2007,6079.0,883.0,0.1637,21.216398
HD 183579 b,3.49,20.4,2021,5784.0,752.0,0.1322,17.471291
HD 183579 b,3.53,11.2,2021,5706.0,748.0,0.13,17.471275
HD 183579 b,3.55,19.7,2021,5788.0,769.0,0.1334,17.471278
HD 18599 b,2.7,25.5,2022,5083.0,863.0,0.05,4.137437
HD 189733 b,12.901559,365.5045,2005,5050.0,1191.0,0.03142,2.21857578
HD 189733 b,12.756,363.582,2005,5040.0,1201.0,0.03099,2.218573
HD 189733 b,12.542871,370.58978,2005,5050.0,1209.0,0.03106,2.218577
HD 191939 b,3.39512346,9.6,2020,5385.0,818.69,0.079,8.8803232
HD 191939 b,3.41,10.0,2020,5348.0,880.0,0.0804,8.8803256
HD 191939 b,3.39,10.4,2020,5348.0,893.0,0.078,8.88029
HD 191939 c,3.1823776,6.1,2020,5385.0,554.51,0.171,28.579889
