st_teff,pl_eqt,pl_rade,pl_orbsmax
6306.0,1816.0,15.076,0.04122
6206.0,1823.0,19.044091,0.04317
6102.0,1313.0,13.372,0.07939
6789.0,2048.0,17.183397,0.04415
5754.0,1675.0,20.84874,0.04571
10170.0,4050.0,21.196219,0.03462
5520.0,511.0,10.54,0.382
7650.0,2550.0,16.948008,0.03641
5830.0,347.0,11.09691,0.534
3515.0,1180.0,0.51,0.008
6182.0,1486.0,1.71,0.05119
6182.0,1012.0,4.32,0.1013
6182.0,806.0,11.27,0.1684
6182.0,584.0,6.56,0.3046
5165.0,1459.0,11.54527,0.0269
5627.0,1833.0,1.416,0.01684
5627.0,2130.0,1.4807089,0.0172
5708.0,2188.0,1.47,0.01685
5708.0,2188.0,1.47,0.01685
5643.0,2160.0,1.46,0.01687
5708.0,2169.0,1.47,0.01685
5708.0,579.0,2.355,0.241
5627.0,485.0,2.227,0.2407
5708.0,578.0,2.355,0.241
5667.0,1513.0,5.77,0.0474
5667.0,1413.0,1.25,0.0684
4909.0,857.0,0.46,0.05521
4909.0,777.0,0.567,0.06702
4909.0,686.0,1.154,0.08618
4909.0,590.0,2.17,0.1162
4909.0,495.0,0.861,0.1656
6009.0,973.0,3.486,0.13223
6009.0,434.0,5.45,0.6639
5854.0,1592.0,1.536,0.04544
5854.0,1593.0,1.536,0.04544
5854.0,1379.0,1.597,0.06064
5854.0,1378.0,1.597,0.06064
5854.0,1173.0,0.86,0.08377
5854.0,1173.0,0.86,0.08377
5854.0,955.0,2.903,0.12639
5854.0,955.0,2.903,0.12638
5950.0,1276.0,2.49,0.0701
5950.0,859.0,2.65,0.1546
5914.0,352.2,7.0840758,0.751
6150.0,984.0,8.059,0.1445
6150.0,704.0,12.341,0.2804
5947.0,1480.0,19.660586,0.0553
5947.0,1485.0,19.122554,0.0555
3841.0,452.0,0.64,0.0753
3841.0,410.0,1.51,0.0913
3841.0,345.0,1.51,0.1288
6395.0,1605.0,12.621334,0.0771
